Tag ID,Type,Value,Magnitude,Absolute,Price,Spiciness,Damage,Anticipation,Calories,Effect,Combines Well With,Combines Poorly With,Combines Dramatically With,HelpTag
alcoholic,effect,1,,,,,1;2,1,,Gives Sauced status effect,bitter,,,
caffinated,effect,,,,,,,,,,,,,
dangerous,effect,,,,,,3;5,,,May add harm or adverse effects,,,,
deadly,effect,,,,,,8;12,,,,,,,
non-food,effect,-5,,,-4,,0;4,,,,,,,
psychotropic,effect,,,,,,,,,May cause harm or other adverse effects,,,,
risky,effect,,1,,,,0;4,,,,,,,
toxic,effect,,,,,,4;8,,,May add adverse effects,,,,
crummy,execution,-1,,,,,,,,,,,,
disaster,execution,-4,,,,,,,,,,,,
flawless,execution,4,,,,,,,,,,,,
poor,execution,-2,,,,,,,,,,,,
ruined,execution,-3,,,,,,,,,,,,
bitter,flavor,-1,,,,,,,,,sweet,,,
entree,flavor,,,,,,,,,,entree,dessert,,
minty,flavor,,,,,,,,,,sweet,salty,savory,
salty,flavor,,,,,,,,,,salty; savory,sour,sweet,
savory,flavor,,,,,,,,,,savory; salty,sour,sweet,
sour,flavor,,,,,,,,,,sour; tangy,minty; bitter,savory; salty,
sweet,flavor,,,,,,,,,,sweet; sour; tangy,,other flavor,
tangy,flavor,,1,,,,,,,,tangy,salty,savory,
aged,freshness,,2,,,,,,,If alcoholic add value; else spoiled,,,,
fresh,freshness,1,,,,,,,,,,,,
old,freshness,-2,,,,,,,,,,,,
spoiled,freshness,-3,,,,,2;8,,,,,,,
stale,freshness,-1,,,,,,,,,,,,
heals,healing,,,,,,-2;-4,,,,,,,restores HP
terrifying,judgment,-2,1,,,,,,,,,,,
beverage,meal,,-1,,,,,,,,fruit; beverage,meat; seafood; entree,,
breakfast,meal,,,,,,,,,,dessert,entree,,
dessert,meal,,,,,,,,,,dessert,entree,,
cruel,meaning,1,,,,,,,,,,,,
nostalgic,meaning,,,,,,,,,,,,,
American,nationality,,,,,,,,,Selected by restaurant,American,,,
British,nationality,,,,,,,,,,British,,,"food, Britain style"
Chinese,nationality,,,,,,,,,Selected by restaurant,Chinese,,,
French,nationality,,,,,,,,,,French,,,"food, French style"
German,nationality,,,,,,,,,,German,,,
Greek,nationality,,,,,,,,,,Greek,,,
Indian,nationality,,,,,,,,,,Indian,,,
Italian,nationality,,,,,,,,,,Italian,,,
Japanese,nationality,,,,,,,,,,Japanese,,,
Korean,nationality,,,,,,,,,,Korean,,,
Mexican,nationality,,,,,,,,,,Mexican,,,
Russian,nationality,,,,,,,,,,Russian,,,
Scottish,nationality,,,,,,,,,,Scottish,,,
Spanish,nationality,,,,,,,,,,Spanish,,,
